time,obs_value
2006-07-01,49882.0964137931
2006-08-01,40905.58129729729
2006-09-01,45424.2335
2006-10-01,50724.20013793103
2006-11-01,43352.661243243245
2006-12-01,54162.97572413793
2007-01-01,74022.6233939394
2007-02-01,62769.87102439025
2007-03-01,72327.31633333334
2007-04-01,77379.56963636364
2007-05-01,66901.22658536586
2007-06-01,76440.60294117648
2007-07-01,81775.78096969696
2007-08-01,67829.60424390245
2007-09-01,74465.4841111111
2007-10-01,85305.85042424242
2007-11-01,68763.05678048781
2007-12-01,84832.96476470589
2008-01-01,92882.69205714286
2008-02-01,75183.92506976744
2008-03-01,83895.38942105263
2008-04-01,95256.86291428571
2008-05-01,80920.36027906976
2008-06-01,97735.81442105262
2008-07-01,99289.85714285714
2008-08-01,77534.99497674419
2008-09-01,86930.96857894736
2008-10-01,101894.87103030302
2008-11-01,81443.0092195122
2008-12-01,110750.7231764706
2009-01-01,87877.60313513514
2009-02-01,91567.70091304347
2009-03-01,83596.8123
2009-04-01,90886.9367027027
2009-05-01,96633.03330434785
2009-06-01,91375.43625
2009-07-01,98211.3855945946
2009-08-01,99655.33413043479
2009-09-01,87228.92405
2009-10-01,93542.0324054054
2009-11-01,100518.90717391303
2009-12-01,106166.44021052631
2010-01-01,96856.4096097561
2010-02-01,81707.10546938775
2010-03-01,94393.40502272727
2010-04-01,100064.87485365853
2010-05-01,85620.77040816327
2010-06-01,103167.3431818182
2010-07-01,107018.04829268294
2010-08-01,89146.94281632653
2010-09-01,96815.46331818182
2010-10-01,104688.76531707318
2010-11-01,92481.51122448979
2010-12-01,115790.57963636363
2011-01-01,109181.32521951219
2011-02-01,93408.85163265307
2011-03-01,102007.30430434784
2011-04-01,118626.62015384615
2011-05-01,104656.88442553191
2011-06-01,122963.14685714284
2011-07-01,138105.2001081081
2011-08-01,114695.53328888888
2011-09-01,134611.985
2011-10-01,145275.44805405405
2011-11-01,124702.7592888889
2011-12-01,170787.92
2012-01-01,178895.375
2012-02-01,145907.24599999998
2012-03-01,183750.2776969697
2012-04-01,192490.0440625
2012-05-01,162859.5368
2012-06-01,201816.19103030305
2012-07-01,214599.1276875
2012-08-01,177923.4663
2012-09-01,200585.4828
2012-10-01,222676.369875
2012-11-01,182051.4054
2012-12-01,233546.88072727274
2013-01-01,217951.41117647057
2013-02-01,190320.21874999997
2013-03-01,219786.4989142857
2013-04-01,235903.62923529412
2013-05-01,205978.4997
2013-06-01,236425.42902857144
2013-07-01,255628.10258823528
2013-08-01,220662.26200000002
2013-09-01,243172.77622857143
2013-10-01,254802.04652941177
2013-11-01,214393.9656
2013-12-01,276022.93715151516
2014-01-01,268996.1674375
2014-02-01,228747.64373684215
2014-03-01,287496.23812903225
2014-04-01,303071.43826666666
2014-05-01,262096.5122222222
2014-06-01,320348.43779310345
2014-07-01,374456.775
2014-08-01,308162.7210967742
2014-09-01,366118.54023999994
2014-10-01,401387.76382608694
2014-11-01,358931.30767999997
2014-12-01,456662.39704761904
2015-01-01,130613.287
2015-02-01,119441.88133333334
2015-03-01,121252.95058823528
2015-04-01,129021.4535
2015-05-01,134527.4905
2015-06-01,160039.65046153846
2015-07-01,176678.844
2015-08-01,178097.64466666666
2015-09-01,158653.80630769228
2015-10-01,151623.56242857143
2015-11-01,151572.6527142857
2015-12-01,142592.68413333333
2016-01-01,159459.86371428572
2016-02-01,157620.14085714286
2016-03-01,144242.38626666667
2016-04-01,156582.921
2016-05-01,162484.67614285715
2016-06-01,146667.35333333333
2016-07-01,159533.42071428572
2016-08-01,163152.34042857145
2016-09-01,147720.5753333333
2016-10-01,156695.39957142857
2016-11-01,156954.8535714286
2016-12-01,149818.14239999998
2017-01-01,164154.58957142857
2017-02-01,165094.08471428574
2017-03-01,154769.6084
2017-04-01,162797.24057142856
2017-05-01,171615.20185714285
2017-06-01,156822.21373333334
2017-07-01,168061.27657142858
2017-08-01,172151.41814285718
2017-09-01,158668.34706666664
2017-10-01,163123.99671428572
2017-11-01,169005.08428571429
2017-12-01,152906.4744
2018-01-01,172064.22842857143
2018-02-01,166113.2732857143
2018-03-01,158811.08626666665
2018-04-01,171427.91657142856
2018-05-01,183388.8082857143
2018-06-01,166144.95733333335
2018-07-01,180326.58428571429
2018-08-01,178160.82385714285
2018-09-01,165831.41826666665
2018-10-01,173931.03957142858
2018-11-01,178954.463
2018-12-01,164138.35813333333
2019-01-01,217793.2485
2019-02-01,216889.75083333332
2019-03-01,194394.96938461537
2019-04-01,215464.9465
2019-05-01,218730.875
2019-06-01,198616.9453846154
2019-07-01,219195.8701666667
2019-08-01,220993.7635
2019-09-01,205226.10738461537
2019-10-01,219526.40166666664
2019-11-01,214723.64633333334
2019-12-01,190900.88046153847
2020-01-01,195878.58599999998
2020-02-01,199344.5905714286
2020-03-01,13785.249076923077
2020-04-01,15473.404749999998
2020-05-01,15804.140599999999
2020-06-01,13741.785272727273
2020-07-01,17013.28
2020-08-01,223867.36283333335
2020-09-01,161375.19152941174
2020-10-01,171551.08325000003
2020-11-01,198145.97357142856
2020-12-01,158627.48976470588
2021-01-01,139201.077
2021-02-01,151407.71188888888
2021-03-01,156657.6211764706
2021-04-01,136771.4203
2021-05-01,156011.8227777778
2021-06-01,141843.30042105264
2021-07-01,144535.18755555557
2021-08-01,172866.47300000003
2021-09-01,155333.4003529412
2021-10-01,149125.066
2021-11-01,169036.021875
2021-12-01,156701.86800000002
2022-01-01,159559.7142
2022-02-01,176666.75788888885
2022-03-01,172544.62452631578
2022-04-01,168208.0967
2022-05-01,192883.30933333334
2022-06-01,177661.14357894738
2022-07-01,173999.5616
2022-08-01,191661.92977777778
2022-09-01,176687.15484210526
2022-10-01,164475.86920000002
2022-11-01,193742.03788888888
2022-12-01,176256.5285263158
2023-01-01,173432.43540000002
2023-02-01,191973.0768888889
2023-03-01,184586.33747368422
2023-04-01,178512.1424
2023-05-01,199152.61122222221
2023-06-01,188431.89463157897
2023-07-01,204024.80244444445
2023-08-01,203540.73688888887
2023-09-01,197399.62789473686
2023-10-01,200596.46044444444
2023-11-01,216040.19788888888
2023-12-01,204706.3967777778
2024-01-01,269640.65885714284
2024-02-01,273063.51871428575
2024-03-01,273115.2731428571
2024-04-01,284672.02785714285
2024-05-01,282041.663
2024-06-01,282249.2781428572
2024-07-01,487958.90075
2024-08-01,483598.47174999997
2024-09-01,5991.383
2024-10-01,1309.06
